"Topic","Type of topic","BL record ID","Type of resource","Content type","Material type","BNB number","Archival Resource Key","ISBN","Name","Dates associated with name","Type of name","Role","All names","Title","Variant titles","Series title","Number within series","Country of publication","Place of publication","Publisher","Date of creation/publication","Edition","Physical description","Dewey classification","BL shelfmark","Genre","Languages","Notes","Provenance"
"Brontë, Emily, 1818-1848","person","011298949","Monograph","Language material ; Text","Volume","GB9600159","","9780133555615","Stoneman, Patsy","1940-","person","author","Stoneman, Patsy, 1940-, author [person]","Brontë transformations : the cultural dissemination of Jane Eyre and Wuthering Heights","","","","England","London","Harvester Wheatsheaf ; Prentice Hall","1996","","xiii, 352 pages, 24 cm","823.8","96/26316 ; YC.1995.b.8368","","English","",""
"Brontë, Emily, 1818-1848","person","011851464","Monograph","Language material ; Text","Volume","","","9783499504563","Waldmann, Werner","1944-","person","","Waldmann, Werner, 1944- [person]","Die Schwestern Bronte : mit Selbstzeugnissen und Bilddokumenten","","","","Germany","Reinbek bei Hamburg","Rowohlt","1990","","150, 1 page, illustrations, 19 cm","","YA.1994.a.1457","","German","",""
"Brontë, Emily, 1818-1848","person","011997015","Monograph","Language material ; Text","Volume","GB9661252","","9780801431326 ; 9780801482557","Meyer, Susan","1960-","person","","Meyer, Susan, 1960- [person]","Imperialism at home : race and Victorian women's fiction","","Reading women writing","","England","Ithaca, New York ; London","Cornell University Press","1996","","x, 220 pages, 24 cm","823.809355","96/20777 ; YC.1996.a.4960","","English","bibliography: p203-212. _ Includes index",""
"Brontë, Emily, 1818-1848","person","012036587","Monograph","Language material ; Text","Volume","GB9115296","","9781853610028","","","","","Warner, Simon [person] ; Beck, Howard M. [person] ; Leeming, Glenda [person]","Brontë country","","","","England","London","Trodd","1988","","128 pages, colour illustrations, 1 colour map, 27 cm","914.28104859","YK.1991.b.1129","","English","Includes index",""
"Brontë, Emily, 1818-1848","person","013829262","Monograph","Language material ; Text","Volume","GBA769035","","9780826486721 ; 9780826486738","White, Kathryn, Museum curator","","person","","White, Kathryn, Museum curator [person]","The bedside, bathtub & armchair companion to the Brontës","","","","England","London","Continuum","2007","","1 volume, illustrations, 24 cm","823.809","","Biography","English","",""
"Brontë, Emily, 1818-1848","person","014537856","Monograph","Language material ; Text","Volume","GBA826028","","9781906229566","Dale, Sue","","person","","Dale, Sue [person]","Brontë sisters gift pack","","","","England","Swindon","Green Umbrella","2008","","1 volume, illustrations, 32 cm","823.809","","Biography","English","Includes DVD",""
"Brontë, Emily, 1818-1848","person","014576105","Monograph","Language material ; Text","Volume","GBA852610","","9781906229597","Wollaston, Emily","","person","author","Wollaston, Emily, author [person]","Little book of the Brontë sisters","Brontë sisters","","","England","Swindon","Green Umbrella","2008","","95 pages, illustrations (chiefly colour), portraits (some colour), 16 cm","823.809","YK.2010.a.2744","Biography","English","",""
"Brontë, Emily, 1818-1848","person","014761640","Monograph","Notated music ; Text","Volume","","","9784841931365 ; 9784841931372 ; 9784841931808","Higuchi, Akiko","","person","","Brontë Parsonage Museum, Bonnell 133 [organisation] ; Higuchi, Akiko [person]","The Brontës and music","Branwell Brontë's flute book ; Brontës' world of music","","","Japan","Tokyo","Yushodo","2008","2nd edition","1 score (386 pages) + 1 book (380 pages), 27 cm (in slip case)","780","E.1920.p","","","volume 1 is an edition of two collections of hymns, songs, arias, traditional songs and tunes, etc, the first collection for voice and unfigured bass or piano, the second for unaccompanied flute. The original manuscript form respectively Bonnell manuscript 133 & 56 in the Brontë Parsonage Museum Library ; volume 2 is a monograph",""
"Brontë, Emily, 1818-1848","person","016225079","Monograph","Language material ; Text","Volume","GBB2C2352","","9780711233980","Dinsdale, Ann","","person","","Dinsdale, Ann [person] ; Warner, Simon, 1951- [person]","The Brontës at Haworth","","","","England","London","Frances Lincoln","2013","","160 pages, illustrations, 25 cm","823.809","","Biography","English","",""
"Brontë, Emily, 1818-1848","person","016607993","Monograph","Language material ; Text","Volume","","","9788377791486","Ostrowski, Eryk","","person","","Witkowska, Angelika [person] ; Ostrowska-Paton, Anna [person] ; Marjańska, Ludmiła [person] ; Ostrowski, Eryk [person] ; Przedpełska-Trzeciakowska, Anna [person] ; Lenkowska, Krystyna, 1957- [person]","Charlotte Brontë i jej siostry śpiące","","","","Poland","Kraków","","2013","","620 pages, illustrations (some colour), facsimiles, portraits, 22 cm","","YF.2016.a.8137","Biography","Polish","",""
"Brontë, Emily, 1818-1848","person","017153625","Monograph","Language material ; Text","Volume","GBB544815","","9780393240085","Lutz, Deborah","","person","author","Lutz, Deborah, author [person]","The Brontë cabinet : three lives in nine objects","","","","United States of America","New York","W. W. Norton","2015","First edition","xxv, 310 pages, 25 cm","823.809","YC.2015.a.9788","Biography","English","",""
"Brontë, Emily, 1818-1848","person","017941023","Monograph","Language material ; Text","Online resource","GBB6I2599","","9780748694594 ; 9781322059839","Staten, Henry","1946-","person","author","Staten, Henry, 1946-, author [person]","Spirit Becomes Matter : the Brontë̈s, George Eliot, Nietzsche","","Edinburgh critical studies in Victorian culture","","Scotland","Edinburgh","Edinburgh University Press","2014","","1 online resource (ix, 189 pages)","823.809","ELD.DS.69497","","English","",""
"Brontë, Emily, 1818-1848","person","018223627","Monograph","Language material ; Text","Online resource","GBB726009","","9780720614442 ; 9780720614466","MacEwan, Helen","","person","","MacEwan, Helen [person]","The Brontës in Brussels","","","","England","London","Peter Owen","2014","","1 online resource (211 pages)","823.809","ELD.DS.117441","","English","",""
"Brontë, Emily, 1818-1848","person","018441330","Monograph","Language material ; Text","Volume","","","9782343051291","Kandji, Alioune Badara","","person","","Kandji, Alioune Badara [person]","Palimpsestes brontëens : relire et réécrire les soeurs Brontë","","Littératures et civilisations","no 4 [Littératures et civilisations]","France","Paris","Harmattan","2014","","214 pages, illustrations, 22 cm","800","","Criticsm and interpretation","French","",""
"Brontë, Emily, 1818-1848","person","018511699","Monograph","Language material ; Text","Online resource","GBB7H3227","","9781446426210","Miller, Lucasta","","person","","Miller, Lucasta [person]","The Brontë myth","","","","England ; United Kingdom","London","Vintage Digital","2013","","1 online resource (336 pages)","823.809","ELD.DS.183680","Biography","English","",""
"Brontë, Emily, 1818-1848","person","018646115","Monograph","Language material ; Text","Volume","GBB7O1917","","9781526703125","Rayner, Catherine","1950-","person","author","Rayner, Catherine, 1950-, author [person]","The Brontë sisters : life, loss and literature","","","","England","Barnsley","Pen & Sword History","2018","","vi, 248 pages, 8 unnumbered pages of plates, illustrations, 24 cm","823.809","YK.2018.a.7581","Biography","English","Includes QR code",""
"Brontë, Emily, 1818-1848","person","018813801","Monograph","Language material ; Still image ; Text","Volume","GBB861002","","9781911454342 ; 9781911454359","Stoneman, Patsy","","person","author","Stoneman, Patsy, author [person]","Brontë transformations : the cultural dissemination of Jane Eyre and Wuthering Heights","","","","England","Brighton","Edward Everett Root","2018","Second expanded edition","xxiii, 386 pages, black and white illustrations, 24 cm","823.8","","","English","",""
"Brontë, Emily, 1818-1848","person","018864253","Monograph","Language material ; Text","Volume","GBB886756","","9781786937773 ; 9781786937780","Rayner, Catherine","1950-","person","author","Rayner, Catherine, 1950-, author [person]","Wild imaginings : a Brontë childhood","","","","England","London","Austin Macauley","2018","","280 pages, 14 unnumbered pages of plates, illustrations, 20 cm","823.809","YK.2019.a.973","Biography","English","Additional physical form: ebook version. 9781786937797",""
"Brontë, Emily, 1818-1848","person","018865482","Monograph","Language material ; Text","Online resource (ebook)","GBB887985","","9781786937797","Rayner, Catherine","","person","author","Rayner, Catherine, author [person]","Wild imaginings : a Brontë childhood","","","","England","London","Austin Macauley","2018","","1 online resource","823.809","","Biography","English","Additional physical form: Print version. 9781786937780",""
"Brontë, Emily, 1818-1848","person","018932986","Monograph","Language material ; Still image ; Text","Volume","GBB8C4925","","9781526722232","Holland, Nick","1971-","person","author","Holland, Nick, 1971-, author [person]","Aunt Branwell and the Brontë legacy","","","","England","Barnsley, South Yorkshire","Pen & Sword History","2018","","viii, 160 pages, 8 unnumbered pages of plates, illustrations, 24 cm","823.809","YK.2020.a.219","Biography","English","",""
"Brontë, Emily, 1818-1848","person","019112916","Monograph","Language material ; Text","Online resource","GBB8K8380","","9780748694594 ; 9781322059839","Staten, Henry","1946-","person","author","Staten, Henry, 1946-, author [person]","Spirit Becomes Matter : the Brontë̈s, George Eliot, Nietzsche","","Edinburgh critical studies in Victorian culture","","Scotland","Edinburgh","Edinburgh University Press","2014","","1 online resource (ix, 189 pages)","823.809","ELD.DS.350131","Criticsm and interpretation","English","",""
"Brontë, Emily, 1818-1848--Adaptations--History","person","018813801","Monograph","Language material ; Still image ; Text","Volume","GBB861002","","9781911454342 ; 9781911454359","Stoneman, Patsy","","person","author","Stoneman, Patsy, author [person]","Brontë transformations : the cultural dissemination of Jane Eyre and Wuthering Heights","","","","England","Brighton","Edward Everett Root","2018","Second expanded edition","xxiii, 386 pages, black and white illustrations, 24 cm","823.8","","","English","",""
"Brontë, Emily, 1818-1848--Appreciation--History","person","018813801","Monograph","Language material ; Still image ; Text","Volume","GBB861002","","9781911454342 ; 9781911454359","Stoneman, Patsy","","person","author","Stoneman, Patsy, author [person]","Brontë transformations : the cultural dissemination of Jane Eyre and Wuthering Heights","","","","England","Brighton","Edward Everett Root","2018","Second expanded edition","xxiii, 386 pages, black and white illustrations, 24 cm","823.8","","","English","",""
"Brontë, Emily, 1818-1848--Bibliography","person","007432175","Monograph","Language material ; Text","Volume","GB8311404","","9780824097707","Passel, Anne","","person","","Passel, Anne [person]","Charlotte and Emily Brontë : an annotated bibliography","","Garland reference library of the humanities","volume 167 [Garland reference library of the humanities]","England ; United States of America","London ; New York","Garland","1979","","x, 359 pages, 22 cm","016.8238","4072.280000 ; X.950/18658","","English","Includes indexes",""
"Brontë, Emily, 1818-1848--Characters--Men","person","012721138","Monograph","Language material ; Text","Volume","","","9783631315910","Katz, Susanne","1969-","person","author","Katz, Susanne, 1969-, author [person]","Die Darstellung der männlichen Hauptfiguren im Prosawerk der Schwestern Brontë","","Düsseldorfer Beiträge aus Anglistik und Amerikanistik","Band 7 [Düsseldorfer Beiträge aus Anglistik und Amerikanistik]","Germany ; United States of America","Frankfurt am Main ; New York","Lang","1997","","xi, 379 pages, illustrations, 22 cm","823.809352041","YA.2000.a.15551","","German","Originally presented as the author's thesis (doctoral) -- Universität Düsseldorf, 1996",""
"Brontë, Emily, 1818-1848--Childhood and youth--Comic books, strips, etc--Fiction","person","019634973","Monograph","Language material ; Still image ; Text","Volume","GBB9J6100","","9781787330832","Greenberg, Isabel","","person","artist ; author","Greenberg, Isabel, artist ; author [person]","Glass Town","","","","England","London","Jonathan Cape","2020","","1 volume, chiefly illustrations, 26 cm","741.5","","Comic or graphic novel ; Fiction","English","Additional physical form: ebook version. 9781473557031",""
"Brontë, Emily, 1818-1848--Childhood and youth--Comic books, strips, etc--Fiction","person","019636310","Monograph","Language material ; Still image ; Text","Online resource (ePub ebook)","GBB9J7437","","9781473557031","Greenberg, Isabel","","person","artist ; author","Greenberg, Isabel, artist ; author [person]","Glass Town","","","","England","London","Vintage Digital","2020","","1 online resource, chiefly illustrations","741.5","","Comic or graphic novel ; Fiction","English","Additional physical form: Print version. 9781787330832",""
"Brontë, Emily, 1818-1848--Chronology","person","011625502","Monograph","Language material ; Text","Volume","GBA3V7618","","9781403901125","Chitham, Edward","","person","","Chitham, Edward [person]","A Brontë family chronology","","Author chronologies","","England","Basingstoke","Palgrave Macmillan","2003","","xii, 318 pages, illustrations, 23 cm","823.809","YC.2005.a.5546 ; m03/41316","Chronology","English","",""
"Brontë, Emily, 1818-1848--Congresses","person","013406698","Monograph","Language material ; Text","Volume","GBA626286","","","Brontë Society Weekend Conference, Haworth, England","2004","meeting/conference","","Brontë Society [organisation] ; Duckett, R. J. (Robert John), editor [person] ; Brontë Society Weekend Conference, Haworth, England, 2004 [meeting/conference]","The Brontës and education : papers presented to the Brontë Society weekend conference, September 2004","","Brontë Society occasional publications","number 10 [Brontë Society occasional publications]","England","Haworth","Brontë Society","2005","","100 pages, illustrations, 21 cm","823.8","YK.2006.a.6301","Congress","English","",""
"Brontë, Emily, 1818-1848--Correspondence","person","011347800","Monograph","Language material ; Text","Volume","GB97X7738","","9780670872121","Barker, Juliet R. V.","","person","author","Barker, Juliet R. V., author [person]","The Brontës : a life in letters","","","","England","London","Viking","1997","","xxx, 414 pages, 16 pages of plates, illustrations, facsimiles, portraits, 25 cm","826.808","98/05309 ; YC.1998.b.2191","Correspondence","English","Includes indexes",""
"Brontë, Emily, 1818-1848--Correspondence","person","013491727","Monograph","Language material ; Text","Volume","GBA677424","","","Barker, Juliet R. V.","","person","author","Barker, Juliet R. V., author [person]","The Brontës : a life in letters","","","","England","London","Folio Society","2006","","xxxii, 442 pages, 16 pages of plates, illustrations, portraits, 25 cm","826.808","YK.2006.a.15046","Biography ; Correspondence","English","In slip case ; Includes index ; Originally published: Penguin, 1997",""
"Brontë, Emily, 1818-1848--Correspondence","person","016795172","Monograph","Language material ; Text","Volume","GBB475046","","9781847772466","","","","","Brontë, Emily, 1818-1848 [person] ; Spark, Muriel, author [person] ; Brontë, Charlotte, 1816-1855 [person] ; Brontë, Anne, 1820-1849 [person]","The essence of the Brontës : a compilation with essays","Works","","","England","Manchester","Carcanet","2014","","319 pages, 22 cm","823.809","YC.2015.a.11725","Correspondence","English","",""
